date,_id,place_name,place_type,lat,lng,text
Wed Sep 30 16:58:03 +0000 2020,1311349603766239233,Bromley,city,51.3932,0.11942,"""Egg cress sandwich"" in #Orpington #UnitedKingdom https://t.co/edqjcBO5fT #foodwaste #free"
Wed Sep 30 16:58:01 +0000 2020,1311349594228428806,Weston-super-Mare,city,51.349273,-2.934027,"""Pret classic super sub"" in #WestonsuperMare #UnitedKingdom https://t.co/r28BC2eZHQ #foodwaste #free"
Wed Sep 30 16:57:42 +0000 2020,1311349511953043456,Weston-super-Mare,city,51.349273,-2.934027,"""Egg mayo "" in #WestonsuperMare #UnitedKingdom https://t.co/be1CBG5Mez #foodwaste #free"
Wed Sep 30 16:57:37 +0000 2020,1311349491694530561,Bromley,city,51.3932,0.11942,"""Scottish salmon sandwich"" in #Orpington #UnitedKingdom https://t.co/fOFVd1CeFZ #foodwaste #free"
Wed Sep 30 16:57:36 +0000 2020,1311349489479884808,Manchester,city,53.482761,-2.242863,"""Pret baguettes ham and Greve"" in #Manchester #UnitedKingdom https://t.co/0JjGDpNAc5 #foodwaste #free"
Wed Sep 30 16:57:31 +0000 2020,1311349469754126336,Richmond,city,51.4278,-0.35898,"""Cavan - large granary sandwich loaf"" in #Hampton #UnitedKingdom https://t.co/KjuRkHqISV #foodwaste #free"
Wed Sep 30 16:57:02 +0000 2020,1311349346324090880,Richmond,city,51.4278,-0.35898,"""Cavan - large white sandwich loaf"" in #Hampton #UnitedKingdom https://t.co/27KKNCq96U #foodwaste #free"
Wed Sep 30 16:56:51 +0000 2020,1311349299524112384,City of London,city,51.512403,-0.083603,"""Pret cheese Baguette"" in #London #UnitedKingdom https://t.co/MCgF9DaVfw #foodwaste #free"
Wed Sep 30 16:56:26 +0000 2020,1311349193496244224,Richmond,city,51.4278,-0.35898,"""Cavan - large granary bloomer"" in #Hampton #UnitedKingdom https://t.co/1FAWVe7INt #foodwaste #free"
Wed Sep 30 16:56:25 +0000 2020,1311349190530826241,Bromley,city,51.3932,0.11942,"""Kids ham cheese sandwich"" in #Orpington #UnitedKingdom https://t.co/7N904Ri4MS #foodwaste #free"
Wed Sep 30 16:55:59 +0000 2020,1311349082246598657,Bromley,city,51.3932,0.11942,"""Kids cheese sandwich"" in #Orpington #UnitedKingdom https://t.co/nJ1yVlXMxf #foodwaste #free"
Wed Sep 30 16:55:52 +0000 2020,1311349051301023747,Richmond,city,51.4278,-0.35898,"""Cavan - large white bloomer"" in #Hampton #UnitedKingdom https://t.co/EVbqx3Jxvo #foodwaste #free"
Wed Sep 30 16:55:39 +0000 2020,1311348999425843200,Richmond,city,51.4278,-0.35898,"""Cavan - large white bloomer"" in #Hampton #UnitedKingdom https://t.co/xtcrpmMKve #foodwaste #free"
Wed Sep 30 16:55:37 +0000 2020,1311348991829913600,Richmond,city,51.4278,-0.35898,"""Cavan - large white bloomer"" in #Hampton #UnitedKingdom https://t.co/rKTmTowcBi #foodwaste #free"
Wed Sep 30 16:55:11 +0000 2020,1311348881574240256,Bromley,city,51.3932,0.11942,"""Tuna melt tostie"" in #Orpington #UnitedKingdom https://t.co/eJC3fcwgSx #foodwaste #free"
Wed Sep 30 16:55:02 +0000 2020,1311348841132810241,East Ham,city,51.508465,0.018902,"""Bernard Matthew fresh turkey crowns "" in #London #UnitedKingdom https://t.co/v6Ftr3daVB #foodwaste #free"
Wed Sep 30 16:54:59 +0000 2020,1311348829585838081,City of London,city,51.512502,-0.083599,"""Pret Salmon Sandwiches "" in #London #UnitedKingdom https://t.co/duIG3nox8o #foodwaste #free"
Wed Sep 30 16:54:59 +0000 2020,1311348829514534912,East Ham,city,51.508465,0.018902,"""Bernard Matthew fresh turkey crowns "" in #London #UnitedKingdom https://t.co/xEJfuuwm8v #foodwaste #free"
Wed Sep 30 16:54:49 +0000 2020,1311348787697405958,East Ham,city,51.508465,0.018902,"""Bernard Matthew fresh turkey crowns "" in #London #UnitedKingdom https://t.co/VsZdypanbB #foodwaste #free"
Wed Sep 30 16:54:40 +0000 2020,1311348752549130240,East Ham,city,51.508465,0.018902,"""Bernard Matthew fresh turkey crowns "" in #London #UnitedKingdom https://t.co/dBiVCn0pyC #foodwaste #free"
Wed Sep 30 16:54:37 +0000 2020,1311348738326253569,East Ham,city,51.508465,0.018902,"""Bernard Matthew fresh turkey crowns "" in #London #UnitedKingdom https://t.co/vKQlrx28xq #foodwaste #free"
Wed Sep 30 16:54:28 +0000 2020,1311348698811695108,East Ham,city,51.508465,0.018902,"""Bernard Matthew fresh turkey crowns "" in #London #UnitedKingdom https://t.co/Gk6YIDkoFc #foodwaste #free"
Wed Sep 30 16:54:27 +0000 2020,1311348697003888642,Bromley,city,51.3932,0.11942,"""Falafel halloumi wrap"" in #Orpington #UnitedKingdom https://t.co/INloCiiJkh #foodwaste #free"
Wed Sep 30 16:53:48 +0000 2020,1311348534134931456,Bromley,city,51.3932,0.11942,"""Macaroni cheese prosciutto"" in #Orpington #UnitedKingdom https://t.co/OGHXPK9B81 #foodwaste #free"
Wed Sep 30 16:53:18 +0000 2020,1311348407454367744,City of London,city,51.512374,-0.08352,"""Pret Club Sandwiches "" in #London #UnitedKingdom https://t.co/WDh8KwKimf #foodwaste #free"
Wed Sep 30 16:53:05 +0000 2020,1311348352995471361,Bromley,city,51.3932,0.11942,"""Macaroni cheese prosciutto"" in #Orpington #UnitedKingdom https://t.co/pM3iskTNN8 #foodwaste #free"
Wed Sep 30 16:52:35 +0000 2020,1311348226465968128,City of London,city,51.512374,-0.08352,"""Pret Chicken Sandwiches "" in #London #UnitedKingdom https://t.co/hNsDGqqN97 #foodwaste #free"
Wed Sep 30 16:52:23 +0000 2020,1311348174523686913,Bromley,city,51.3932,0.11942,"""Ham cheese mustard tostie"" in #Orpington #UnitedKingdom https://t.co/L3spoc3lzu #foodwaste #free"
Wed Sep 30 16:51:09 +0000 2020,1311347867513221122,City of London,city,51.512388,-0.083541,"""Pret Toasties- ham"" in #London #UnitedKingdom https://t.co/wqX14kEdPZ #foodwaste #free"
Wed Sep 30 16:51:03 +0000 2020,1311347842599002114,East Ham,city,51.508465,0.018902,"""Large bag of grapes "" in #London #UnitedKingdom https://t.co/rh8AzGh9de #foodwaste #free"
Wed Sep 30 16:50:51 +0000 2020,1311347789213949961,City of London,city,51.512621,-0.083572,"""Pret chicken salad"" in #London #UnitedKingdom https://t.co/uZzABN5VMk #foodwaste #free"
Wed Sep 30 16:46:42 +0000 2020,1311346744941260801,Camden Town,city,51.522362,-0.108379,"""Sunglasses 🕶 "" in #London #UnitedKingdom https://t.co/Xt1MqkUAhf #zerowaste #free"
Wed Sep 30 16:46:20 +0000 2020,1311346653320876040,Camden Town,city,51.522362,-0.108379,"""Food containers"" in #London #UnitedKingdom https://t.co/UHi1ZA50ns #zerowaste #free"
Wed Sep 30 16:44:08 +0000 2020,1311346098599067648,Hackney,city,51.5533,-0.07697,"""BUBBLE WRAP"" in #Dalston #UnitedKingdom https://t.co/9jwHCh61Nn #zerowaste #free"
Wed Sep 30 16:43:42 +0000 2020,1311345988993511434,Richmond,city,51.427147,-0.382329,"""Hardcore - rubble - pebble mix"" in #Hampton #UnitedKingdom https://t.co/osc3NK7jiR #zerowaste #free"
Wed Sep 30 16:42:10 +0000 2020,1311345605676015618,Glasgow,city,55.8968,-4.34058,"""Volcano making set"" in #Glasgow #UnitedKingdom https://t.co/HbMw8sY9YY #zerowaste #free"
Wed Sep 30 16:40:22 +0000 2020,1311345153857261568,Richmond,city,51.4272,-0.38285,"""Candle in glass"" in #Hampton #UnitedKingdom https://t.co/myH5irvKWr #zerowaste #free"
Wed Sep 30 16:38:34 +0000 2020,1311344700708786176,Richmond,city,51.427147,-0.382329,"""Outdoor toy"" in #Hampton #UnitedKingdom https://t.co/r1pE9hxTXp #zerowaste #free"
Wed Sep 30 16:37:33 +0000 2020,1311344442494930946,Bristol,city,51.4713,-2.61111,"""Pret Soups and rolls"" in #Bristol #UnitedKingdom https://t.co/5aCHFXF3Oc #foodwaste #free"
Wed Sep 30 16:37:00 +0000 2020,1311344305370529796,Stratford,city,51.5425,0.0096,"""Ball + ejercices"" in #London #UnitedKingdom https://t.co/cXh6qXfaSx #zerowaste #free"
Wed Sep 30 16:35:41 +0000 2020,1311343974725152769,Camden Town,city,51.5222,-0.13299,"""Sushi"" in #London #UnitedKingdom https://t.co/60gfonwDqg #foodwaste #free"
Wed Sep 30 16:35:25 +0000 2020,1311343907549126660,Richmond,city,51.4853,-0.23692,"""Fruit and veg "" in #London #UnitedKingdom https://t.co/ZfNe5DMjLM #foodwaste #free"
Wed Sep 30 16:34:16 +0000 2020,1311343615092850689,Bristol,city,51.4713,-2.61111,"""Pret assorted pastries, muffins and cookies"" in #Bristol #UnitedKingdom https://t.co/R1mu8Ohfcl #foodwaste #free"
Wed Sep 30 16:32:40 +0000 2020,1311343215170203650,Harrow,city,51.619065,-0.291809,"""Old newspapers"" in #Stanmore #UnitedKingdom https://t.co/7S7dsqzi67 #zerowaste #free"
Wed Sep 30 16:32:22 +0000 2020,1311343138972278787,Bristol,city,51.4713,-2.61111,"""Pret Chicken avocado &amp; basil sandwiches x8"" in #Bristol #UnitedKingdom https://t.co/upJUQnnu0H #foodwaste #free"
Wed Sep 30 16:31:17 +0000 2020,1311342866107691011,Bristol,city,51.4713,-2.61111,"""Pret Mature cheddar and Pret pickle sandwiche..."" in #Bristol #UnitedKingdom https://t.co/1HXUVYIbel #foodwaste #free"
Wed Sep 30 16:31:15 +0000 2020,1311342856527851520,Broxbourne,city,51.6857,-0.01522,"""Three cheese  bloomer "" in #WalthamAbbey #UnitedKingdom https://t.co/dQFL5VycQ3 #foodwaste #free"
Wed Sep 30 16:30:50 +0000 2020,1311342753369018375,Bristol,city,51.4713,-2.61111,"""Pret Posh cheddar and pickle baguette x 1"" in #Bristol #UnitedKingdom https://t.co/0NOKLC6UWm #foodwaste #free"
Wed Sep 30 16:30:49 +0000 2020,1311342746951704577,Islington,city,51.5598,-0.10107,"""IKEA King Size Mattress"" in #London #UnitedKingdom https://t.co/WouQvrsGtt #zerowaste #free"
Wed Sep 30 16:30:31 +0000 2020,1311342674453180417,Paddington,city,51.51498,-0.173247,"""Tiger Rolls  -  Tesco"" in #London #UnitedKingdom https://t.co/326l7YtWjs #foodwaste #free"
Wed Sep 30 16:29:57 +0000 2020,1311342530315911169,Bristol,city,51.4713,-2.61111,"""Pret Chicken Caesar &amp; Bacon baguette x 1"" in #Bristol #UnitedKingdom https://t.co/Qvqquy5DuO #foodwaste #free"
Wed Sep 30 16:28:39 +0000 2020,1311342204519096320,Bristol,city,51.4713,-2.61111,"""Pret Avo olives and toms baguette x 3"" in #Bristol #UnitedKingdom https://t.co/1l9a2Zk8uT #foodwaste #free"
Wed Sep 30 16:28:32 +0000 2020,1311342173267406848,Birmingham,city,52.4321,-1.92429,"""Bag of carrots."" in #Birmingham #UnitedKingdom https://t.co/st8cyLqdBZ #foodwaste #free"
